,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,sqft_above,sqft_basement,yr_built,yr_renovated
1,2384000.0,5.0,2.5,3650,9050,2.0,0,4,5,3370,280,1921,0
5,490000.0,2.0,1.0,880,6380,1.0,0,0,3,880,0,1938,1994
9,640000.0,4.0,2.0,1520,6200,1.5,0,0,3,1520,0,1945,2010
11,1400000.0,4.0,2.5,2920,4000,1.5,0,0,5,1910,1010,1909,1988
13,365000.0,3.0,1.0,1090,6435,1.0,0,0,4,1090,0,1955,2009
14,1200000.0,5.0,2.75,2910,9480,1.5,0,0,3,2910,0,1939,1969
20,750000.0,3.0,1.75,2240,10578,2.0,0,0,5,1550,690,1923,0
22,626000.0,3.0,2.25,1750,1572,2.5,0,0,3,1470,280,2005,0
24,495000.0,4.0,1.75,1600,6380,1.0,0,0,3,1130,470,1959,1989
26,615000.0,3.0,1.75,2360,7291,1.0,0,0,4,1360,1000,1948,0
29,790000.0,3.0,2.5,2600,4750,1.0,0,0,4,1700,900,1951,1999
32,650000.0,4.0,2.0,1820,5000,1.5,0,1,3,1640,180,1945,2010
36,440000.0,2.0,1.0,800,4850,1.0,0,0,4,800,0,1944,0
39,750000.0,3.0,2.5,2390,6550,1.0,0,2,4,1440,950,1955,2009
43,439950.0,3.0,2.5,1770,2875,2.0,0,0,3,1770,0,1990,2009
44,235000.0,2.0,1.0,1210,9400,1.0,0,0,2,1210,0,1949,0
48,445700.0,3.0,2.5,1270,1180,3.0,0,0,3,1270,0,2001,0
52,805000.0,3.0,2.0,2710,4500,1.5,0,0,4,1880,830,1929,0
58,385000.0,3.0,3.25,1320,1327,2.0,0,0,3,1040,280,2008,0
59,295000.0,2.0,2.5,1630,1368,2.0,0,0,3,1280,350,2009,0
65,553000.0,2.0,1.0,900,5000,1.0,0,0,3,900,0,1944,0
71,783500.0,3.0,2.5,2850,7130,2.0,0,0,3,1990,860,1980,0
72,628000.0,4.0,2.0,2280,6010,1.0,0,0,3,1140,1140,1900,2005
75,531000.0,2.0,3.0,1270,1175,2.0,0,0,3,1110,160,2000,0
76,831000.0,4.0,3.0,2170,4000,2.0,0,0,4,1610,560,1982,2011
82,580000.0,2.0,1.0,2540,7000,1.0,0,0,5,1320,1220,1942,0
86,549000.0,2.0,1.0,1140,5400,1.0,0,0,5,1140,0,1908,0
88,405000.0,2.0,3.0,1410,1240,2.0,0,0,3,1140,270,2006,0
91,650000.0,3.0,1.5,2160,9000,1.0,0,2,4,1400,760,1949,1985
92,823000.0,6.0,1.75,2920,5000,2.5,0,0,4,2780,140,1908,0
93,770000.0,3.0,2.0,2350,5700,1.5,0,0,4,1810,540,1939,1989
94,524000.0,3.0,1.75,1560,5520,1.0,0,0,4,780,780,1944,0
96,670000.0,3.0,2.5,1680,2000,3.0,0,0,3,1680,0,1909,1998
98,406100.0,3.0,2.25,1410,1332,3.0,0,0,3,1410,0,2005,0
99,1395000.0,5.0,3.5,4010,8510,2.0,0,1,5,2850,1160,1971,0
104,435000.0,5.0,2.0,1840,9240,1.0,0,0,4,1540,300,1942,1958
108,400000.0,2.0,1.0,840,5510,1.0,0,0,3,840,0,1955,2005
110,657100.0,4.0,1.0,1390,4240,1.0,0,0,3,1050,340,1924,2011
114,740000.0,4.0,1.75,2010,3600,1.5,0,0,3,2010,0,1902,0
116,398750.0,3.0,2.5,2230,4000,2.0,0,0,3,2230,0,1954,2005
121,287000.0,3.0,1.0,1450,6000,1.0,0,0,4,1450,0,1953,1983
124,600000.0,3.0,1.75,1880,6360,1.0,0,0,4,1040,840,1945,0
125,418000.0,3.0,2.0,1410,6030,1.5,0,0,4,1410,0,1930,0
126,449250.0,4.0,2.0,1480,3844,1.5,0,0,5,1480,0,1928,1970
127,329950.0,2.0,1.0,1140,5250,1.5,0,0,4,1140,0,1949,1985
133,1425000.0,2.0,2.5,2220,4000,2.0,0,0,3,2220,0,2000,0
134,585000.0,2.0,1.0,1770,8640,1.5,0,0,3,1520,250,1949,1998
136,618500.0,3.0,2.0,1800,5000,1.0,0,0,4,1080,720,1942,1982
139,631625.0,4.0,2.5,2440,6651,2.0,0,0,3,2440,0,2014,0
141,340000.0,2.0,1.5,1160,1438,2.0,0,0,3,1160,0,2001,0
144,366750.0,3.0,3.0,1571,2017,3.0,0,0,3,1571,0,2008,0
146,416286.0,3.0,2.5,1408,989,3.0,0,0,3,1408,0,2005,0
152,450000.0,2.0,2.0,1100,3000,1.5,0,0,3,1100,0,1912,2005
153,353000.0,3.0,1.0,1350,7740,1.0,0,0,4,860,490,1947,1988
156,561000.0,3.0,2.0,2000,7000,2.0,0,0,3,2000,0,1916,1986
157,469000.0,2.0,1.0,1030,4400,1.0,0,0,3,1030,0,1924,2011
158,329350.0,2.0,1.0,720,6687,1.0,0,0,3,720,0,1942,1999
159,488000.0,5.0,2.0,2020,5000,1.5,0,0,4,2020,0,1938,0
162,312000.0,4.0,2.0,1300,7054,1.0,0,0,3,1300,0,1950,2013
163,650000.0,3.0,1.5,1630,7475,1.0,0,1,3,1160,470,1940,1996
164,1135000.0,4.0,2.75,3370,8103,1.0,0,3,3,1970,1400,1970,2014
165,325000.0,4.0,2.5,1890,6156,1.0,0,0,3,980,910,1980,0
167,219000.0,2.0,1.0,900,5160,1.0,0,0,3,900,0,1952,2008
181,460000.0,2.0,2.25,1230,929,2.0,0,0,3,1020,210,2004,2003
186,612500.0,4.0,2.0,2060,5000,1.0,0,0,3,1030,1030,1949,2013
191,313950.0,3.0,1.0,1510,6083,1.0,0,0,4,860,650,1940,2001
192,575000.0,3.0,1.75,2130,6500,1.0,0,2,3,1170,960,1954,2005
193,1225000.0,4.0,2.25,3490,6906,2.0,0,0,4,2280,1210,1928,0
199,365000.0,3.0,1.5,1310,8160,1.0,0,0,3,1310,0,1950,2005
201,1580000.0,4.0,3.25,3760,10920,1.5,0,0,5,2400,1360,1950,0
205,484000.0,2.0,1.75,1660,6000,1.0,0,0,3,1160,500,1942,1999
211,345000.0,3.0,1.0,1110,6250,1.0,0,0,3,1110,0,1956,2001
212,533000.0,5.0,2.75,1800,3780,1.5,0,0,3,1400,400,1926,2003
213,385000.0,3.0,1.75,1900,5520,1.0,0,0,3,1280,620,1982,0
216,485000.0,3.0,2.0,1420,4080,1.5,0,0,3,1420,0,1905,2013
219,499000.0,2.0,1.75,1170,2400,1.0,0,0,4,740,430,1903,0
220,1050000.0,3.0,2.5,2200,1970,2.0,0,0,3,1610,590,2008,0
222,500000.0,3.0,2.5,1480,1171,3.0,0,0,3,1480,0,2006,0
223,390000.0,5.0,3.75,2890,5000,1.0,0,0,3,1310,1580,2006,0
224,979000.0,3.0,2.5,2690,4047,3.0,0,0,3,2690,0,2014,0
226,369950.0,3.0,2.0,1270,1320,3.0,0,0,3,1270,0,2006,0
229,519950.0,3.0,2.25,1170,1249,3.0,0,0,3,1170,0,2014,0
231,495000.0,3.0,1.0,990,6000,1.0,0,0,3,990,0,1943,2002
239,750000.0,3.0,2.75,2520,5401,1.0,0,0,4,1360,1160,1946,1989
241,599999.0,9.0,4.5,3830,6988,2.5,0,0,3,2450,1380,1938,2003
247,526000.0,2.0,2.0,1550,2400,1.5,0,0,4,1550,0,1900,1971
252,3200000.0,7.0,4.5,6210,8856,2.5,0,2,5,4760,1450,1910,0
253,420000.0,2.0,1.5,1040,3500,1.5,0,0,4,1040,0,1904,0
257,749950.0,4.0,2.75,2600,6050,2.0,0,0,5,1960,640,1949,0
259,568000.0,3.0,2.0,2350,5080,1.5,0,0,3,1780,570,1929,0
264,500000.0,2.0,1.0,1010,3885,1.5,0,0,4,1010,0,1906,1990
265,475000.0,2.0,1.0,820,2723,1.0,0,0,3,820,0,1921,2000
266,352000.0,5.0,2.5,2420,8560,1.0,0,2,3,1620,800,1978,0
269,599000.0,3.0,1.75,1960,4788,1.0,0,0,4,1090,870,1920,0
274,575000.0,4.0,2.0,1650,5000,1.0,0,0,3,1650,0,1955,2005
275,705000.0,4.0,2.5,2650,4316,1.5,0,0,3,1520,1130,1905,2013
276,940000.0,4.0,2.25,1890,5940,1.0,0,1,3,1470,420,1963,2008
280,485000.0,3.0,2.0,1610,4160,1.0,0,0,4,1010,600,1917,0
281,300000.0,2.0,1.0,760,3001,1.0,0,0,3,760,0,1913,1983
284,1500000.0,6.0,2.5,3560,6480,2.5,0,0,4,3560,0,1914,1945
285,1340000.0,3.0,3.0,2960,5500,2.0,0,2,3,2440,520,1937,1990
289,361280.0,2.0,1.0,820,6400,1.0,0,0,4,820,0,1944,0
294,440000.0,3.0,1.75,1500,6180,1.0,0,0,4,1060,440,1947,1988
295,530000.0,3.0,1.0,1340,4284,1.0,0,0,3,1080,260,1910,2006
297,775000.0,3.0,2.0,2540,7200,1.5,0,3,4,1600,940,1905,0
301,380000.0,5.0,1.75,3000,6000,1.0,0,0,5,1500,1500,1958,0
303,690000.0,3.0,2.0,1760,6428,1.0,0,0,4,980,780,1942,1982
306,794154.0,4.0,2.0,2210,8556,1.0,0,1,4,1210,1000,1954,1979
308,245000.0,3.0,1.5,1260,1270,2.0,0,0,3,1040,220,2005,0
311,425000.0,2.0,2.5,1150,1027,3.0,0,0,3,1150,0,2008,0
313,365000.0,5.0,2.75,2410,5003,1.0,0,0,3,1410,1000,2008,0
314,417250.0,3.0,2.25,1606,1452,3.0,0,0,3,1606,0,2009,0
315,339950.0,2.0,1.0,820,681,3.0,0,0,3,820,0,2006,0
316,615000.0,2.0,1.0,1540,6872,1.0,0,0,4,820,720,1946,1989
320,533000.0,3.0,1.0,1670,4080,1.0,0,0,3,1170,500,1967,2011
323,712000.0,3.0,1.0,1250,4620,1.5,0,0,4,1150,100,1900,1971
328,205000.0,2.0,1.0,720,5040,1.0,0,0,3,720,0,1955,2005
329,553650.0,2.0,2.5,1360,1349,2.0,0,0,3,1050,310,1997,0
334,719000.0,3.0,2.5,1690,4500,1.5,0,1,4,1690,0,1928,0
338,1039000.0,4.0,1.0,3410,5000,2.0,0,0,5,2190,1220,1910,0
341,515000.0,2.0,1.0,1060,4960,1.0,0,0,3,1060,0,1926,2003
342,207000.0,3.0,1.0,1490,8995,1.0,0,0,4,1490,0,1954,1979
347,385000.0,3.0,1.75,1890,9920,1.0,0,0,3,1230,660,1944,0
349,235000.0,2.0,1.0,1270,3008,1.0,0,0,4,650,620,1923,0
350,358000.0,2.0,1.5,960,1808,2.0,0,0,3,960,0,1993,0
352,228000.0,4.0,1.75,2000,6120,1.0,0,0,3,1100,900,1965,1993
353,405000.0,2.0,1.0,1020,8155,1.0,0,0,4,1020,0,1948,0
356,1750000.0,6.0,3.0,3510,5760,2.5,0,0,4,3510,0,1906,1990
357,636000.0,2.0,1.75,1230,3600,1.5,0,0,5,1230,0,1925,0
361,530000.0,4.0,2.75,2280,2850,1.5,0,0,4,1540,740,1930,0
363,230000.0,3.0,1.75,950,6000,1.0,0,0,3,790,160,1939,1969
366,1307000.0,5.0,3.25,2800,3200,1.5,0,0,5,1910,890,1932,2002
368,660000.0,3.0,1.75,1320,5750,1.5,0,0,5,1320,0,1918,0
374,413450.0,3.0,2.5,1540,1614,3.0,0,0,3,1470,70,2008,0
378,930000.0,3.0,3.25,2640,4080,2.0,0,0,3,1840,800,1912,2000
380,835000.0,4.0,2.0,1910,6960,1.5,0,0,5,1910,0,1941,0
382,500000.0,3.0,1.75,1410,1197,3.0,0,0,3,1410,0,2012,1912
383,499000.0,2.0,1.5,1110,957,2.0,0,0,3,930,180,2005,0
384,321950.0,2.0,1.25,860,1277,2.0,0,0,3,860,0,2007,0
386,441750.0,2.0,1.5,1020,1060,3.0,0,0,3,1020,0,2008,0
387,438000.0,2.0,1.0,980,1179,2.0,0,0,3,980,0,2010,0
392,460000.0,4.0,1.75,1750,5500,1.5,0,0,5,1050,700,1926,0
402,255000.0,2.0,1.0,810,7980,1.0,0,0,1,810,0,1928,0
403,445000.0,4.0,2.0,1650,6000,1.0,0,0,5,1000,650,1959,0
405,195000.0,2.0,1.0,720,18000,1.0,0,0,3,720,0,1950,2005
408,490000.0,2.0,1.0,1840,3300,1.5,0,0,4,1130,710,1910,0
411,270000.0,3.0,1.5,1500,6337,1.0,0,0,5,1500,0,1953,0
413,382000.0,3.0,3.25,1410,1253,3.0,0,0,3,1410,0,2005,0
419,536500.0,4.0,1.75,2000,4000,1.5,0,0,5,1450,550,1926,0
423,463000.0,2.0,1.0,1150,4400,1.0,0,0,4,1150,0,1905,0
424,742500.0,4.0,2.75,3100,3773,2.0,0,0,3,2000,1100,1919,1996
433,325000.0,3.0,2.25,1352,1694,3.0,0,0,3,1352,0,2007,0
438,481450.0,3.0,2.0,1410,4800,1.0,0,0,3,1410,0,1940,1996
447,252500.0,3.0,1.0,1030,6127,1.0,0,0,3,880,150,1947,2012
453,536000.0,3.0,1.75,1300,5413,1.5,0,0,3,1300,0,1925,1992
455,445000.0,2.0,2.0,1150,6634,1.0,0,0,3,860,290,1940,1996
457,769900.0,4.0,3.5,2730,3047,2.0,0,0,3,2400,330,2006,0
459,212000.0,2.0,1.5,1020,1525,2.0,0,0,3,1020,0,2004,2003
460,376000.0,3.0,2.0,1340,1384,3.0,0,0,3,1340,0,2008,0
463,324000.0,3.0,2.25,998,904,2.0,0,0,3,798,200,2007,0
464,549900.0,5.0,2.75,3060,7015,1.0,0,0,5,1600,1460,1979,0
466,875000.0,4.0,2.0,2520,6000,1.0,0,0,3,1400,1120,1921,2007
468,394950.0,3.0,2.5,1350,1250,3.0,0,0,3,1270,80,2006,0
469,842500.0,4.0,2.5,2160,5298,2.5,0,0,4,2160,0,1902,0
470,368000.0,3.0,2.5,1370,1350,2.0,0,0,3,1010,360,2007,0
472,885000.0,4.0,2.5,2830,5000,2.0,0,0,3,2830,0,1995,0
475,490000.0,2.0,2.5,1230,1391,2.0,0,0,3,870,360,2004,2003
477,235000.0,1.0,1.0,810,2451,1.0,0,0,5,810,0,1941,0
481,255000.0,2.0,1.0,1220,2500,1.0,0,0,3,770,450,1910,2006
485,350000.0,2.0,1.0,910,4500,1.5,0,0,4,910,0,1906,1990
487,582000.0,4.0,1.75,2120,4650,1.0,0,1,3,1190,930,1951,1994
488,1315000.0,4.0,3.5,3460,3997,2.0,0,0,3,2560,900,2004,2003
489,372500.0,5.0,3.0,2480,10090,1.0,0,0,3,1300,1180,2004,2003
491,360000.0,4.0,2.0,1730,5500,1.0,0,0,5,1010,720,1943,0
492,1015000.0,3.0,2.5,2920,34527,1.0,0,4,4,1800,1120,1954,1983
498,210000.0,3.0,2.5,1040,2643,2.0,0,0,3,720,320,2004,2003
500,770000.0,3.0,1.75,1720,5000,1.0,0,0,3,1720,0,1954,2014
501,499950.0,3.0,1.0,980,6380,1.0,0,0,3,760,220,1941,1994
508,500000.0,2.0,2.25,1290,1334,3.0,0,0,3,1290,0,2007,0
511,870300.0,4.0,2.5,2350,3150,1.5,0,0,4,1690,660,1910,0
515,315275.0,3.0,1.75,1440,8040,1.0,0,0,3,960,480,1951,1994
516,505000.0,4.0,1.75,1940,4800,1.0,0,0,5,1030,910,1922,1956
520,610000.0,4.0,3.0,2110,5000,1.5,0,2,4,1640,470,1930,0
523,910000.0,3.0,2.0,2700,6120,1.0,0,0,4,1350,1350,1962,0
524,1300000.0,4.0,3.25,2330,9687,2.0,0,3,3,2330,0,1918,0
526,840000.0,4.0,2.75,2600,2750,1.5,0,0,3,1620,980,1936,0
527,300000.0,2.0,1.75,1360,8100,1.0,0,0,3,860,500,1975,0
532,675000.0,4.0,3.0,2400,3340,1.0,0,0,4,1200,1200,1964,0
533,734200.0,4.0,2.5,2760,5000,1.5,0,0,5,1680,1080,1928,1970
536,630000.0,4.0,2.0,1770,6000,2.0,0,0,5,1770,0,1911,1981
538,301500.0,2.0,1.5,830,1333,2.0,0,0,3,830,0,2005,0
539,369000.0,2.0,2.5,980,895,2.0,0,0,3,670,310,2009,0
540,635000.0,3.0,2.5,1570,1433,3.0,0,0,3,1570,0,2010,0
546,625000.0,3.0,3.5,1810,1846,2.0,0,0,4,1440,370,2009,0
556,525000.0,5.0,3.0,2450,4591,2.0,0,0,3,2450,0,1994,0
560,628000.0,4.0,2.0,2260,6000,1.0,0,0,3,1430,830,1958,2004
562,245000.0,5.0,1.75,2020,7902,1.0,0,0,3,1220,800,1962,2003
563,415000.0,3.0,1.75,1960,5000,1.0,0,0,5,980,980,1911,1984
567,799200.0,6.0,3.0,2890,2370,2.5,0,0,3,2290,600,1906,2014
569,591000.0,3.0,1.75,1680,2400,1.0,0,0,5,870,810,1922,1956
572,575000.0,3.0,1.75,1580,11750,1.0,0,0,4,1180,400,1951,1999
573,771000.0,3.0,2.25,1780,6120,1.5,0,0,4,1390,390,1927,0
574,155000.0,2.0,1.0,910,6232,1.0,0,0,3,910,0,1943,2002
575,550000.0,7.0,4.0,3440,8100,2.0,0,0,3,3440,0,1970,2014
581,2555000.0,4.0,2.5,5300,26211,2.0,1,2,2,4570,730,1923,0
582,717000.0,3.0,1.5,1310,3880,1.0,0,0,3,1090,220,1956,2001
584,225000.0,3.0,1.0,1040,6535,1.0,0,0,3,1040,0,1947,2012
586,230000.0,2.0,0.75,650,5360,1.0,0,0,4,650,0,1931,0
587,385000.0,3.0,2.0,1480,6600,1.0,0,2,3,740,740,1943,2002
594,665000.0,3.0,2.0,1940,5820,1.5,0,0,5,1150,790,1944,0
596,620000.0,3.0,1.0,1710,4050,1.5,0,0,3,1710,0,1909,2004
597,1105000.0,4.0,1.5,2740,4000,2.0,0,0,5,1930,810,1905,0
598,450000.0,3.0,2.75,1250,892,2.0,0,0,3,1040,210,2010,0
607,560000.0,3.0,1.0,1440,5000,2.0,0,0,3,1440,0,1910,2006
609,413000.0,4.0,1.0,1410,6000,1.0,0,0,3,810,600,1925,2002
615,570000.0,3.0,2.0,1530,5401,1.0,0,0,4,1530,0,1937,0
616,465000.0,3.0,1.5,1270,5112,1.0,0,0,3,1270,0,1950,2005
620,525000.0,3.0,2.5,1580,1161,2.0,0,0,3,1010,570,2008,0
622,870000.0,4.0,2.5,3520,6773,2.5,0,0,3,2650,870,2006,0
623,650000.0,4.0,2.5,2210,4861,2.0,0,0,3,2210,0,2013,1923
625,330000.0,3.0,2.5,1450,5008,1.0,0,0,3,840,610,2007,0
626,385000.0,4.0,1.75,1620,4980,1.0,0,0,4,860,760,1947,1988
627,306000.0,3.0,1.5,1220,1086,3.0,0,0,3,1220,0,2007,0
628,546000.0,3.0,1.75,2000,5000,1.0,0,0,4,1110,890,1921,0
631,800000.0,3.0,1.0,1700,4400,1.5,0,0,4,1700,0,1906,1990
632,620000.0,5.0,2.5,2540,3832,2.0,0,0,5,1760,780,1929,0
642,372220.0,3.0,1.0,1290,5500,1.0,0,0,3,980,310,1951,1994
643,337500.0,5.0,2.0,1700,7314,1.0,0,0,3,1000,700,1956,2001
644,582500.0,2.0,1.5,1159,4800,1.0,0,0,3,1159,0,1948,1994
646,405100.0,2.0,1.0,840,3522,1.0,0,0,3,840,0,1947,2012
649,538000.0,3.0,1.75,1400,3825,1.5,0,0,4,1100,300,1904,0
650,1400000.0,3.0,2.5,2550,7200,2.0,0,2,3,2550,0,1981,2013
652,702500.0,3.0,1.5,2360,6750,2.0,0,0,5,1930,430,1926,0
656,682000.0,3.0,1.75,1830,5120,1.5,0,2,5,1830,0,1903,0
659,525000.0,3.0,1.75,1600,6120,1.5,0,0,3,1600,0,1924,2011
661,394475.0,2.0,1.0,830,4000,1.0,0,0,3,830,0,1955,2005
663,339950.0,3.0,1.0,1050,5402,1.5,0,0,4,1050,0,1906,1990
674,715000.0,4.0,2.25,2060,5649,1.0,0,0,5,1360,700,1941,0
676,458000.0,3.0,1.0,1660,7500,1.0,0,0,4,1060,600,1940,2001
687,607500.0,5.0,1.75,2220,6000,1.5,0,0,3,1420,800,1923,1998
689,400000.0,2.0,1.0,980,2130,1.0,0,0,4,860,120,1918,1974
693,300000.0,3.0,1.0,1260,8280,1.0,0,0,3,1260,0,1946,0
710,185000.0,3.0,1.0,1150,8100,1.0,0,0,3,1150,0,1932,0
714,451555.0,2.0,1.0,1320,4520,1.0,0,1,3,1320,0,1912,1971
717,840000.0,4.0,1.75,2930,11562,1.0,0,3,3,1670,1260,1947,2012
719,349950.0,3.0,1.0,1400,7066,1.0,0,0,3,1400,0,1957,2000
720,613000.0,4.0,2.0,1550,4815,1.5,0,0,3,1550,0,1909,2004
724,197500.0,3.0,1.0,980,3090,1.5,0,0,3,980,0,1903,2005
734,1255000.0,4.0,2.5,3200,7535,2.0,0,0,3,3200,0,2006,0
735,575000.0,2.0,1.0,1490,6000,1.0,0,0,3,1090,400,1946,0
737,585000.0,5.0,1.75,2000,3750,2.0,0,0,4,2000,0,1921,0
743,475000.0,7.0,3.5,2870,29699,1.0,0,0,3,1520,1350,1961,2004
746,790000.0,3.0,1.75,1790,6117,1.0,0,2,3,1350,440,1940,1996
754,744000.0,4.0,3.0,1980,5352,2.5,0,0,3,1980,0,1941,2005
755,312500.0,2.0,1.0,880,6345,1.0,0,0,3,880,0,1919,2001
757,495000.0,4.0,2.0,2050,4000,1.5,0,0,5,1210,840,1941,0
758,580050.0,3.0,2.5,2360,4638,2.0,0,3,3,2360,0,1996,0
759,640000.0,4.0,2.0,2560,7798,1.0,0,0,4,1890,670,1947,1988
762,295000.0,3.0,1.5,850,2500,1.0,0,0,3,850,0,1986,0
765,343000.0,4.0,1.75,2290,10290,1.0,0,0,3,1340,950,1960,2012
766,467000.0,3.0,1.0,1660,6582,1.0,0,0,5,1000,660,1946,0
767,512500.0,3.0,2.5,1840,2875,2.0,0,0,4,1840,0,1997,0
769,465000.0,3.0,1.75,1410,6886,1.0,0,0,3,1410,0,1924,2013
771,340000.0,3.0,1.75,1960,8136,1.0,0,0,3,980,980,1948,1994
773,497000.0,4.0,2.5,2240,7200,2.0,0,0,3,2240,0,1995,0
775,344000.0,3.0,2.5,1232,1130,3.0,0,0,3,1232,0,2007,0
778,312000.0,3.0,2.25,1490,974,2.0,0,0,3,1220,270,2009,0
784,350000.0,1.0,1.0,700,5100,1.0,0,0,3,700,0,1942,1999
786,408200.0,3.0,2.5,1800,5761,2.0,0,0,4,1800,0,1990,0
787,451000.0,3.0,1.75,1560,4049,1.5,0,2,3,1000,560,1926,2003
789,799000.0,4.0,3.25,3120,5000,2.0,0,0,3,2370,750,2005,0
790,720000.0,2.0,1.0,2020,7200,1.0,0,3,4,1700,320,1947,1988
791,490000.0,3.0,2.0,1450,2400,1.5,0,0,3,1450,0,1900,2003
802,342000.0,3.0,1.0,1260,6826,1.0,0,0,3,720,540,1944,0
804,724800.0,3.0,2.0,2050,3933,1.0,0,0,3,1180,870,1926,2001
806,605000.0,2.0,1.0,910,3600,1.0,0,0,4,910,0,1909,1989
808,785000.0,3.0,2.0,2180,5440,1.0,0,0,5,1100,1080,1904,0
810,565000.0,3.0,2.25,1520,1221,3.0,0,0,3,1520,0,2013,1923
811,875000.0,3.0,2.0,2220,6641,1.0,0,2,4,1220,1000,1947,1988
820,620000.0,3.0,2.25,1720,4000,1.5,0,0,4,1450,270,1921,0
821,245000.0,2.0,1.0,870,6150,1.0,0,0,3,870,0,1941,1994
822,238000.0,3.0,2.0,1020,1204,2.0,0,0,3,720,300,2004,2003
823,523000.0,3.0,1.5,1260,3135,1.5,0,0,3,1260,0,1931,0
825,180000.0,3.0,1.0,1000,18513,1.0,0,0,3,1000,0,1940,1996
826,375000.0,3.0,1.5,1100,1751,2.0,0,0,3,940,160,2007,0
831,540000.0,1.0,1.0,1140,6700,1.5,0,0,3,1140,0,1920,1979
832,605000.0,3.0,2.25,1290,2500,2.0,0,0,4,1290,0,1987,0
837,490000.0,2.0,1.0,1160,5000,1.0,0,0,4,1160,0,1937,0
843,341000.0,3.0,2.5,1480,1663,2.0,0,0,3,1180,300,2012,1912
848,500000.0,2.0,2.5,1310,1500,2.0,0,0,3,1160,150,2006,0
849,410000.0,3.0,2.0,1700,4250,1.0,0,0,3,890,810,1944,0
855,488000.0,2.0,2.0,1360,4688,1.0,0,0,3,780,580,1944,0
858,592500.0,2.0,2.0,1420,9191,1.5,0,2,5,1420,0,1928,1970
860,475000.0,2.0,1.0,1490,3825,1.0,0,0,3,860,630,1929,0
864,487250.0,4.0,2.0,1690,3250,1.5,0,0,3,1550,140,1901,0
866,440000.0,2.0,1.5,1010,1968,1.5,0,0,5,1010,0,1906,0
868,462000.0,3.0,1.5,1710,4500,1.5,0,0,3,1410,300,1928,1954
869,560000.0,4.0,1.0,1660,4690,1.5,0,0,3,1260,400,1945,2010
870,285000.0,4.0,1.75,2080,13629,1.0,0,0,4,1040,1040,1955,2009
872,210000.0,3.0,1.0,1080,21043,1.0,0,0,3,1080,0,1942,1999
873,690000.0,3.0,2.0,1610,5100,1.5,0,0,5,1610,0,1940,0
875,411000.0,4.0,2.75,2500,5257,2.0,0,0,3,2500,0,1966,1963
877,762000.0,5.0,2.0,3370,5000,1.5,0,0,4,2140,1230,1907,0
882,413500.0,2.0,1.0,770,4000,1.0,0,0,5,770,0,1924,1956
886,524950.0,3.0,1.75,1890,3825,1.0,0,0,3,1290,600,1974,0
888,461000.0,2.0,1.0,1060,7193,1.0,0,0,3,1060,0,1926,2003
890,885000.0,4.0,2.75,2730,3560,1.5,0,0,3,1550,1180,1921,2007
894,333000.0,4.0,2.0,1580,7800,2.0,0,0,2,1580,0,1906,0
899,485000.0,3.0,1.0,1500,4100,1.5,0,0,3,1370,130,1926,2003
900,482500.0,3.0,2.25,1450,1445,2.0,0,0,3,980,470,2005,0
906,485000.0,2.0,2.25,1260,1240,3.0,0,0,3,1260,0,2004,2003
909,850000.0,4.0,3.5,2640,5900,2.0,0,2,3,2640,0,1937,1998
912,700000.0,3.0,1.75,2010,4905,1.0,0,0,5,1230,780,1912,0
913,368000.0,2.0,1.5,1660,4680,1.0,0,0,5,830,830,1908,0
914,433500.0,3.0,2.5,2200,3360,2.0,0,0,3,2200,0,2009,0
920,367000.0,2.0,1.0,700,2334,1.0,0,0,3,700,0,1945,2010
924,477000.0,3.0,2.5,1350,2053,3.0,0,0,3,1350,0,2005,0
925,518000.0,3.0,2.5,1680,2096,2.0,0,0,3,1380,300,2008,0
